,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
672,Jeff Celentano,Edward Baker-Duly,Pandora Clifford,Maggie Grace,Horror Thriller Drama Crime Mystery,blackwater lane,Edward Baker-Duly Pandora Clifford Maggie Grace Jeff Celentano Horror Thriller Drama Crime Mystery
673,Chris Nelson,Lil Rel Howery,Billy Magnussen,Jillian Bell,Comedy Mystery,reunion,Lil Rel Howery Billy Magnussen Jillian Bell Chris Nelson Comedy Mystery
674,Ti West,Mia Goth,Elizabeth Debicki,Moses Sumney,Horror Crime Mystery,maxxxine,Mia Goth Elizabeth Debicki Moses Sumney Ti West Horror Crime Mystery
675,Felipe Mucci,Abbie Cornish,Laz Alonso,Moon Bloodgood,Thriller Mystery Crime,detained,Abbie Cornish Laz Alonso Moon Bloodgood Felipe Mucci Thriller Mystery Crime
676,Tilman Singer,Hunter Schafer,Dan Stevens,Jessica Henwick,Horror Mystery Science Fiction,cuckoo,Hunter Schafer Dan Stevens Jessica Henwick Tilman Singer Horror Mystery Science Fiction
677,Brandon Vietti,Matthew Rhys,Katee Sackhoff,Titus Welliver,Animation Mystery Science Fiction Action,watchmen: chapter i,Matthew Rhys Katee Sackhoff Titus Welliver Brandon Vietti Animation Mystery Science Fiction Action
678,Potsy Ponciroli,Himesh Patel,Joseph Gordon-Levitt,Lily James,Mystery Comedy Crime,greedy people,Himesh Patel Joseph Gordon-Levitt Lily James Potsy Ponciroli Mystery Comedy Crime
679,"The Eggers Brothers (directors/screenplay); Brandy Norwood, Andrew Burnap, Neal Huff, Kathryn Hunter",Brandy Norwood,Andrew Burnap,Neal Huff,Horror Mystery,the front room,"Brandy Norwood Andrew Burnap Neal Huff The Eggers Brothers (directors/screenplay); Brandy Norwood, Andrew Burnap, Neal Huff, Kathryn Hunter Horror Mystery"
680,David Henrie,Mel Gibson,Mason Thames,Lorraine Bracco,Adventure Fantasy Mystery Thriller,monster summer,Mel Gibson Mason Thames Lorraine Bracco David Henrie Adventure Fantasy Mystery Thriller
681,Parker Finn,Naomi Scott,Rosemarie DeWitt,Kyle Gallner,Horror Mystery Thriller,smile 2,Naomi Scott Rosemarie DeWitt Kyle Gallner Parker Finn Horror Mystery Thriller
682,Edward Berger,Ralph Fiennes,Stanley Tucci,John Lithgow,Drama Thriller Mystery,conclave,Ralph Fiennes Stanley Tucci John Lithgow Edward Berger Drama Thriller Mystery
683,Vicky Jenson,Rachel Zegler,John Lithgow,Jenifer Lewis,Thriller Mystery Romance,spellbound,Rachel Zegler John Lithgow Jenifer Lewis Vicky Jenson Thriller Mystery Romance
